id;description;create_date;last_update_date
1;Assistant;2020-10-18T01:55:28;2020-10-17T09:02:49
2;payment;2020-10-17T23:41:50;2020-10-17T15:21:06
3;Distributed Games Movies;2020-10-17T09:37:40;2020-10-17T23:56:00
4;International Tactics Licensed;2020-10-18T02:12:17;2020-10-17T15:47:19
5;Concrete Small Granite Computer;2020-10-18T02:51:21;2020-10-18T00:25:00
6;Squares Cotton Books;2020-10-18T04:57:53;2020-10-17T17:50:33
7;Hat standardization;2020-10-18T01:33:02;2020-10-18T03:49:15
8;partnerships functionalities Plastic;2020-10-17T19:57:37;2020-10-17T14:39:20
9;Illinois eyeballs International;2020-10-18T01:21:39;2020-10-17T23:22:29
10;input Berkshire haptic;2020-10-17T10:53:31;2020-10-18T02:48:53
