id;position;create_date;last_update_date
1;64085;2020-10-18T02:18:04;2020-10-17T15:42:40
2;16316;2020-10-18T04:53:58;2020-10-17T10:44:24
3;1876;2020-10-17T12:39:52;2020-10-18T05:19:03
4;21947;2020-10-18T00:33:58;2020-10-17T08:51:14
5;25114;2020-10-17T17:15:07;2020-10-17T20:14:44
6;35952;2020-10-18T02:19:35;2020-10-17T10:48:08
7;35005;2020-10-17T16:16:05;2020-10-17T17:10:34
8;96637;2020-10-18T00:47:23;2020-10-17T18:57:59
9;31714;2020-10-17T16:52:50;2020-10-18T01:38:33
10;4232;2020-10-17T15:08:07;2020-10-17T06:07:52
